Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
0.5,0.5,1.5,0,0,0,1.5,0.5,W
1,0,1.5,0,0,0,1.5,0.5,W
0.5,0.5,1.5,0,1,0,1.5,0.5,W
0.5,0,1.5,0,0,0,1.5,0.5,W
1,1,1.5,0,0.5,0,1.5,0.5,W
0,0,0,0,0,0,0,0,W
0,0,0,0,0,1.5,0,1.5,W
0,0,0,0,0,0,0,0,W
3,0.5,0,0,0,0,0,0,W
3,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
1,0,0,0,0,0,0,0.5,W
1,0,0,0,0,0,0,0.5,W
1,0,0,0,0,0,0,0,W
1,0,0,0,0,0,0,0,W
1,0,0,0,0,0,0,1,W
1,0,0,0,0,0,0,1,W
2,0,0,0,0,0,0,1,W
1,0,0,0,0,0,0,1,W
2,1,0,0,1,0,0,2,W
3,0,0,0,0,0,0,1,W
0,0,0,0,0,0,0,0,W
1.5,0,0,0,0,0,0,0.5,W
1.5,1,0,0,1,0,0,1.5,W
0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
3,0,0,0,2,0,0,0.5,W
1,0,0,0,2,0,0,0.5,W
1,0,0,0,2,0,0,1,W
1,1,0,0,0,0,0,1,W
2,2,1.5,1,2,1.5,0.5,2,W
0,0,0,0,0,0,0,0,W
2,0,0,0,0,2,1,1,W
3,1,1,0,0,1,2,1,W
2,1,0,0,0,0,0,1,W
1,0,0,0,0,0,0,0,W
1,0,0,0,0,0,0,1.5,W
0,0,0,0,0,0,0,0,W
1,0,0,0,0,0,0,1,W
3,1,0,1,1,0,0,2,W
2,1,0,0,0,0,0,1,W
1,1,0.5,0,0,0,0.5,1.5,W
0.5,0.5,0,0,0,0,0,0.5,W
2,1.5,2,3,1.5,1.5,0,1.5,W
2,0,0,0,0,0,0,1,W
2,0,0,0,0,0,0,0.5,W
1,0.5,0,1,1,1,2,2,W
0,0,0,0,0,0,0,0,W
1,0.5,0,0,0.5,0,0.5,0.5,W
0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
2,1,0.5,0,0,0,0,0.5,W
1.5,0.5,0,0,0,0,0,0.5,W
1.5,0,0,0,0,0,0,0,W
2,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
1,0,0,0,0,0,0,0,W
3,1.5,2,2,1,1,1.5,3,W
3,0,1.5,0,0,0,0,0,W
3,0,0,0,0,0,0,1,W
1.5,0.5,0,0,0,0,0,1.5,W
1.5,0.5,0,0,0,0,0,1.5,W
1.5,0.5,0,0,0,0,0,1,W
2.5,0,0,0,0,0,0,0,W
3,0.5,0,0,0.5,0,0,0.5,W
0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
2,3,3,0,2,0,0,2,W
0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
1,0,0,0,0,0,0,1,W
1,0,0,0,0,0,0,0.5,W
0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
0,0,2,0,0,0,0,0,W
2,0,0,0,0,0,0,0.5,W
0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,W
